The Fort and the Wave	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-92d87e3e-a8d9-4b58-914e-e093550fda48.png	Stories/The Fort and the Wave/story_the_fort_and_the_wave.png
The Fort and the Wave	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-0b029730-cfe9-4c8d-840c-ba694444de98.png	Stories/The Fort and the Wave/comp_the_fort_and_the_wave_0.png
The Fort and the Wave	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-cf653fa1-bc9c-40c1-b492-6919c83fa214.png	Stories/The Fort and the Wave/comp_the_fort_and_the_wave_1.png
The Fort and the Wave	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-b9229d96-83bb-489f-9a96-7d03009d7afc.png	Stories/The Fort and the Wave/comp_the_fort_and_the_wave_2.png
A Ride for the Gnome	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-1210de2a-fede-4c0a-b60f-e5f2f45c13b3.png	Stories/A Ride for the Gnome/story_a_ride_for_the_gnome.png
A Ride for the Gnome	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-8bd48f2d-8c3d-4db2-a929-3d054cf4c173.png	Stories/A Ride for the Gnome/comp_a_ride_for_the_gnome_0.png
A Ride for the Gnome	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-c53c25bd-d976-43ae-9976-4fc67c24e6b9.png	Stories/A Ride for the Gnome/comp_a_ride_for_the_gnome_1.png
A Ride for the Gnome	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-1dfa38f0-bc99-4887-9841-1e3934724fd6.png	Stories/A Ride for the Gnome/comp_a_ride_for_the_gnome_2.png
The Crow and the Nut	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-12766b84-50c2-475b-a76a-f27b3e6aa06e.png	Stories/The Crow and the Nut/story_the_crow_and_the_nut.png
The Crow and the Nut	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-bbc7cd0a-9097-4b18-a928-5c9019e3db74.png	Stories/The Crow and the Nut/comp_the_crow_and_the_nut_0.png
The Crow and the Nut	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-d1f9ab05-6505-4fcf-a5e6-3d929ef565bd.png	Stories/The Crow and the Nut/comp_the_crow_and_the_nut_1.png
The Crow and the Nut	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-7832c079-1e89-426b-b7f8-ce6e94de2bf7.png	Stories/The Crow and the Nut/comp_the_crow_and_the_nut_2.png
The Wrong Bag	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-af66fd23-eff5-4c1a-8bca-12c444cfd079.png	Stories/The Wrong Bag/story_the_wrong_bag.png
The Wrong Bag	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-a83fbb19-97d4-4ac4-9f9a-0b6b548beab8.png	Stories/The Wrong Bag/comp_the_wrong_bag_0.png
The Wrong Bag	/Users/ricky/.codex/generated_images/01a0bbb3-9d19-7282-bb3b-3c2e17811add/exec-6e1ef41d-35b1-4503-9461-1b34e3970e5c.png	Stories/The Wrong Bag/comp_the_wrong_bag_1.png
